mainMenuLink,mainMenuLinkName
ogloszenia-duszpasterskie/,OGLOSZENIA DUSZPASTERSKIE
intencje-mszalne/,INTENCJE MSZALNE
pogrzeby/,POGRZEBY
szafarze/,SZAFARZE
kaplani/,DUSZPASTERZE
spowiedz-w-bazylice/,SPOWIEDZ
kancelaria/,KANCELARIA
