ddListLink,ddListUrl
ALL,shop/
SHIRTS,product-category/shirts/
FEATURED,product-category/featured/
TRENDS,product-category/trends/
SCARFS,product-category/scarfs/
SHOES,product-category/shoes/
TOPS,product-category/tops/
BLOUSE,product-category/blouse/
JEANS,product-category/jeans/
DRESSES,product-category/dresses/
